epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,726.705,1.796,1.6541,1.3419,0.45488,0.27273,0.23944,0.07428,2.39173,2.85558,1.84955,0.000990365,0.000990365,0.000990365
43,744.257,1.79832,1.60226,1.31665,0.4245,0.29091,0.24656,0.07144,2.42449,2.73269,1.85075,0.000973861,0.000973861,0.000973861
44,761.571,1.69611,1.67504,1.2992,0.40984,0.30909,0.27467,0.0803,2.37538,2.76025,1.81163,0.000957358,0.000957358,0.000957358
45,778.886,1.65407,1.62394,1.24355,0.43473,0.34545,0.27542,0.09351,2.38539,2.70294,1.80217,0.000940855,0.000940855,0.000940855
46,796.417,1.73671,1.61511,1.32709,0.45001,0.34545,0.30673,0.10267,2.43037,2.46405,1.83146,0.000924352,0.000924352,0.000924352
47,813.61,1.76534,1.58831,1.33741,0.46963,0.36364,0.35386,0.1044,2.397,2.32842,1.80712,0.000907848,0.000907848,0.000907848
48,830.859,1.69712,1.53537,1.29695,0.51376,0.34545,0.39076,0.11416,2.44319,2.23105,1.81116,0.000891345,0.000891345,0.000891345
49,848.156,1.73949,1.53035,1.31418,0.49806,0.41818,0.40542,0.11234,2.53808,2.2739,1.81218,0.000874842,0.000874842,0.000874842
50,866.326,1.73049,1.61362,1.30133,0.43235,0.44322,0.35071,0.09814,2.56049,2.31574,1.81411,0.000858338,0.000858338,0.000858338
51,884.132,1.68165,1.56728,1.26664,0.44108,0.41818,0.33231,0.09975,2.53495,2.34493,1.80558,0.000841835,0.000841835,0.000841835
52,901.683,1.55096,1.53396,1.23575,0.42062,0.43636,0.37891,0.10326,2.50512,2.34688,1.78064,0.000825332,0.000825332,0.000825332
53,918.89,1.65515,1.45049,1.27584,0.41479,0.41818,0.37062,0.10806,2.50231,2.2702,1.79795,0.000808828,0.000808828,0.000808828
54,936.222,1.53123,1.44642,1.24183,0.37856,0.43636,0.32511,0.10032,2.51233,2.21405,1.81923,0.000792325,0.000792325,0.000792325
55,953.696,1.72235,1.51657,1.34321,0.44525,0.4,0.31652,0.09974,2.52411,2.12526,1.8634,0.000775822,0.000775822,0.000775822
56,971.064,1.65246,1.41237,1.28083,0.40478,0.43281,0.32989,0.10751,2.55059,2.15057,1.86206,0.000759318,0.000759318,0.000759318
57,988.465,1.52342,1.4107,1.27566,0.38427,0.38182,0.3255,0.1095,2.54213,2.17362,1.85424,0.000742815,0.000742815,0.000742815
58,1006.61,1.58351,1.31157,1.20514,0.36516,0.4,0.36037,0.12111,2.4947,2.12633,1.83832,0.000726312,0.000726312,0.000726312
59,1024.53,1.57438,1.37176,1.21977,0.39025,0.49091,0.3602,0.12175,2.45217,2.10743,1.79873,0.000709809,0.000709809,0.000709809
60,1044.9,1.57667,1.44622,1.26864,0.52796,0.41818,0.38352,0.12146,2.45675,2.19501,1.80003,0.000693305,0.000693305,0.000693305
61,1063.42,1.58815,1.44354,1.22185,0.49831,0.41541,0.39712,0.12676,2.44811,2.13594,1.79336,0.000676802,0.000676802,0.000676802
62,1082.45,1.52695,1.29328,1.19315,0.51402,0.38468,0.38483,0.1283,2.49019,2.07261,1.83007,0.000660299,0.000660299,0.000660299
63,1101.96,1.5769,1.28271,1.19552,0.53453,0.37594,0.36972,0.12716,2.55489,2.06176,1.87453,0.000643795,0.000643795,0.000643795
64,1132.53,1.50661,1.3403,1.19124,0.55406,0.38182,0.39476,0.13629,2.52302,2.07552,1.85811,0.000627292,0.000627292,0.000627292
65,1156.47,1.52894,1.28779,1.24364,0.41269,0.48555,0.42633,0.14681,2.56071,1.999,1.92494,0.000610789,0.000610789,0.000610789
66,1178.44,1.58331,1.33475,1.19334,0.44271,0.47273,0.40778,0.13626,2.52761,1.97974,1.91549,0.000594286,0.000594286,0.000594286
67,1203.69,1.59631,1.32987,1.21694,0.4157,0.45455,0.38621,0.12672,2.50449,1.99472,1.90493,0.000577782,0.000577782,0.000577782
68,1223.94,1.55056,1.42026,1.29075,0.43218,0.45455,0.38352,0.12799,2.50576,2.04705,1.88036,0.000561279,0.000561279,0.000561279
69,1243.57,1.45839,1.22592,1.16731,0.43783,0.43636,0.41338,0.13391,2.46152,2.14028,1.82724,0.000544776,0.000544776,0.000544776
70,1262.79,1.50705,1.39321,1.14493,0.56247,0.36364,0.40667,0.13368,2.44163,2.25254,1.79561,0.000528272,0.000528272,0.000528272
71,1281.52,1.6967,1.3861,1.20996,0.66044,0.34545,0.40861,0.13477,2.43228,2.23121,1.77909,0.000511769,0.000511769,0.000511769
72,1300.76,1.36507,1.26932,1.13458,0.65218,0.32727,0.37131,0.12984,2.43006,2.15113,1.77418,0.000495266,0.000495266,0.000495266
73,1320.54,1.4132,1.3145,1.18594,0.42968,0.43837,0.37888,0.13019,2.40768,2.09472,1.76269,0.000478762,0.000478762,0.000478762
74,1340.95,1.47001,1.36532,1.12533,0.43834,0.42577,0.38367,0.12289,2.43737,2.14593,1.78213,0.000462259,0.000462259,0.000462259
75,1361.25,1.43471,1.27889,1.20262,0.41833,0.41818,0.37007,0.11987,2.47609,2.19068,1.80446,0.000445756,0.000445756,0.000445756
76,1380.4,1.39219,1.21985,1.15286,0.49308,0.45455,0.41052,0.12512,2.48758,2.27414,1.80271,0.000429253,0.000429253,0.000429253
77,1400.53,1.33231,1.19016,1.13219,0.4692,0.41818,0.3934,0.12279,2.48717,2.30042,1.80966,0.000412749,0.000412749,0.000412749
78,1418.99,1.42723,1.26678,1.1176,0.44757,0.4,0.39884,0.12905,2.47972,2.28659,1.83044,0.000396246,0.000396246,0.000396246
79,1436.74,1.33908,1.21683,1.16757,0.52948,0.38885,0.39939,0.12009,2.49605,2.25978,1.85908,0.000379743,0.000379743,0.000379743
80,1453.77,1.37673,1.14897,1.15079,0.56143,0.4,0.40335,0.11019,2.51118,2.23519,1.88599,0.000363239,0.000363239,0.000363239
81,1470.8,1.48858,1.39029,1.18799,0.56443,0.4,0.40769,0.11441,2.50545,2.23983,1.87642,0.000346736,0.000346736,0.000346736
82,1487.83,1.3479,1.11091,1.10088,0.52992,0.36903,0.40028,0.11272,2.48461,2.28095,1.8288,0.000330233,0.000330233,0.000330233
83,1505.14,1.45096,1.22226,1.20059,0.4849,0.38182,0.3382,0.10579,2.48467,2.29878,1.81543,0.000313729,0.000313729,0.000313729
84,1522.57,1.23787,1.06935,1.10751,0.50624,0.36364,0.34118,0.11362,2.48711,2.29984,1.80788,0.000297226,0.000297226,0.000297226
85,1540.5,1.33977,1.19279,1.16828,0.52353,0.35967,0.33622,0.10921,2.49001,2.26987,1.80655,0.000280723,0.000280723,0.000280723
86,1557.57,1.35857,1.16529,1.08343,0.53505,0.35582,0.35842,0.10521,2.51944,2.2194,1.82338,0.00026422,0.00026422,0.00026422
87,1575.92,1.37576,1.14723,1.16519,0.41144,0.41818,0.3659,0.11021,2.54927,2.15961,1.84366,0.000247716,0.000247716,0.000247716
88,1595.07,1.28233,1.09858,1.11663,0.41082,0.43636,0.36129,0.11338,2.58753,2.13187,1.86346,0.000231213,0.000231213,0.000231213
89,1612.9,1.28599,1.17516,1.07867,0.41226,0.41818,0.36326,0.11303,2.6028,2.13078,1.87809,0.00021471,0.00021471,0.00021471
90,1630.92,1.22691,1.06404,1.08092,0.43974,0.43636,0.37275,0.11669,2.61039,2.1451,1.87384,0.000198206,0.000198206,0.000198206
91,1648.48,1.33894,1.16201,1.13209,0.48009,0.45455,0.40259,0.11688,2.58466,2.15047,1.85147,0.000181703,0.000181703,0.000181703
92,1665.85,1.30287,1.12039,1.10333,0.48234,0.44054,0.4055,0.1275,2.55171,2.16002,1.82947,0.0001652,0.0001652,0.0001652
93,1683.67,1.25113,1.09805,1.09221,0.4971,0.41344,0.41553,0.12963,2.52292,2.18818,1.81126,0.000148696,0.000148696,0.000148696
94,1702.06,1.30909,1.13895,1.16787,0.43012,0.37061,0.39563,0.12796,2.52349,2.20468,1.81867,0.000132193,0.000132193,0.000132193
95,1728.99,1.2971,1.10164,1.08311,0.46369,0.41818,0.3922,0.12673,2.52168,2.19933,1.82709,0.00011569,0.00011569,0.00011569
96,1747.72,1.23663,1.12166,1.10039,0.48484,0.41818,0.38369,0.12269,2.52635,2.1827,1.83571,9.91865e-05,9.91865e-05,9.91865e-05
97,1768.29,1.22488,1.02677,1.09632,0.48302,0.42477,0.37795,0.12013,2.52763,2.15477,1.83849,8.26832e-05,8.26832e-05,8.26832e-05
98,1786.62,1.19537,1.00806,1.06476,0.46323,0.38182,0.37848,0.11948,2.52404,2.12789,1.83941,6.61799e-05,6.61799e-05,6.61799e-05
99,1804.22,1.23348,1.11247,1.11732,0.50592,0.38182,0.39791,0.1198,2.52848,2.10109,1.85092,4.96766e-05,4.96766e-05,4.96766e-05
100,1824.92,1.21234,1.08018,1.08116,0.49946,0.38182,0.39106,0.11829,2.54229,2.10462,1.85891,3.31733e-05,3.31733e-05,3.31733e-05
