epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15684,0.69319,2.78384,0.93953,0.00667,1,0.69143,0.62994,0.28747,2.61177,0.80685,6e-05,6e-05,6e-05
2,4.30795,0.6356,2.6478,0.98891,0.00667,1,0.78786,0.78786,0.17522,2.59874,0.78986,9.38e-05,9.38e-05,9.38e-05
3,6.34668,0.47974,2.48212,0.87965,0.00667,1,0.995,0.995,0.12475,2.59134,0.78378,7.48e-05,7.48e-05,7.48e-05
