epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8535,2.5734,4.45184,1.90623,0.00271,0.13043,0.00803,0.0027,2.49643,4.36947,1.97214,6.668e-05,6.668e-05,6.668e-05
2,56.8777,2.48506,4.25898,1.86432,0.00714,0.33333,0.09624,0.03673,2.35701,4.26106,1.72842,0.000147059,0.000147059,0.000147059
3,84.8268,2.47412,3.53292,1.74473,0.00898,0.42029,0.06296,0.01988,2.35144,4.04768,1.60741,0.000224138,0.000224138,0.000224138
4,112.556,2.18317,2.99957,1.56054,0.00859,0.4058,0.0572,0.02143,2.34212,4.06017,1.64089,0.000297916,0.000297916,0.000297916
5,142.598,2.26232,3.02718,1.6334,0.00837,0.37681,0.08119,0.03507,2.27686,4.00003,1.6566,0.000368394,0.000368394,0.000368394
6,171.31,2.23762,2.60631,1.59926,0.01182,0.52174,0.08156,0.03492,2.29545,4.03211,1.63677,0.00043557,0.00043557,0.00043557
7,197.84,2.16352,2.55346,1.58251,0.01463,0.53623,0.04262,0.01704,2.29367,4.04746,1.62879,0.000499447,0.000499447,0.000499447
8,224.271,2.07374,2.65194,1.52389,0.01238,0.43478,0.01894,0.00772,2.27491,4.16819,1.71243,0.000560022,0.000560022,0.000560022
9,249.192,2.14159,2.66382,1.59931,0.01096,0.37681,0.03548,0.01209,2.24282,4.17169,1.80683,0.000617297,0.000617297,0.000617297
10,278.956,2.11577,2.26626,1.57071,0.00865,0.31884,0.03374,0.01656,2.33098,4.18444,1.81808,0.000671271,0.000671271,0.000671271
11,305.213,2.12472,2.44225,1.50609,0.0105,0.4058,0.03166,0.01123,2.35916,4.14168,1.86009,0.000721944,0.000721944,0.000721944
12,329.759,2.03171,2.37899,1.48314,0.01028,0.43478,0.0315,0.00927,2.37984,4.02382,1.91646,0.000769317,0.000769317,0.000769317
